ID,ZIP Code,Age (in years),Experience (in years),Income (in K/month),Family members,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,91107,25,1,49,4,1.6,1,0,0,1,0,0,0
2,90089,45,19,34,3,1.5,1,0,0,1,0,0,0
3,94720,39,15,11,1,1,1,0,0,0,0,0,0
4,94112,35,9,100,1,2.7,2,0,0,0,0,0,0
5,91330,35,8,45,4,1,2,0,0,0,0,0,1
6,92121,37,13,29,4,0.4,2,155,0,0,0,1,0
7,91711,53,27,72,2,1.5,2,0,0,0,0,1,0
8,93943,50,24,22,1,0.3,3,0,0,0,0,0,1
9,90089,35,10,81,3,0.6,2,104,0,0,0,1,0
10,93023,34,9,180,1,8.9,3,0,1,0,0,0,0
11,94710,65,39,105,4,2.4,3,0,0,0,0,0,0
12,90277,29,5,45,3,0.1,2,0,0,0,0,1,0
13,93106,48,23,114,2,3.8,3,0,0,1,0,0,0
14,94920,59,32,40,4,2.5,2,0,0,0,0,1,0
15,91741,67,41,112,1,2,1,0,0,1,0,0,0
16,95054,60,30,22,1,1.5,3,0,0,0,0,1,1
17,95010,38,14,130,4,4.7,3,134,1,0,0,0,0
18,94305,42,18,81,4,2.4,1,0,0,0,0,0,0
19,91604,46,21,193,2,8.1,3,0,1,0,0,0,0
20,94720,55,28,21,1,0.5,2,0,0,1,0,0,1
21,94015,56,31,25,,0.9,2,111,0,0,0,1,0
22,90095,57,27,63,3,2,3,0,0,0,0,1,0
23,90277,29,5,62,1,1.2,1,260,0,0,0,1,0
24,91320,44,18,43,2,0.7,1,163,0,1,0,0,0
25,95521,36,11,152,2,3.9,1,159,0,0,0,0,1
26,94305,43,19,29,3,0.5,1,97,0,0,0,1,0
27,95064,40,16,83,4,0.2,3,0,0,0,0,0,0
28,90064,46,20,158,1,2.4,1,0,0,0,0,1,1
29,94539,56,30,48,1,2.2,3,0,0,0,0,1,1
30,94104,38,13,119,1,3.3,2,0,1,0,1,1,1
31,93106,59,35,35,1,1.2,3,122,0,0,0,1,0
